"","Start_Date","End_Date","Company","Lecture","Lecture_Comments","Responsive","Responsive_Comments","Student_Guide","Guide_Comment","Lab_Exercises","Lab_Comments","Classroom","Classroom_Comments","Computer","Computer_Comments","Network","Network_Comments","See_Hear","See_Hear_Comments","Years_Experience","Experience_Comments","IP_or_Telephony_Background","Background_Comments","Had_Knowledge_Skills","Knowledge_Skills_Comments","Metaswitch_Experience","Metaswitch_Exp_Comments","Attended__Appropriate_Time","Appropriate_Time_Comments","Learned_What_I_Needed","Learned_Comment","Recommend_Class","Recommend_Comments","Feedback","Instructor","Location","Course","Technical_Details"
"50","8/12/2016 4:54","8/12/2016 5:14","Mediacom",40,"Jason has a natural teaching ability and makes learning highly technical topics easier to learn in a relaxed environment. There is feedback and mutual respect between instructor and students for collaboration of ideas and ability to feel comfortable asking questions that are within the course framework as well as questions related to the specific hosted setup scenarios.",40,"Jason was very motivated to answer every and all questions within the course outline as well as finding and tracking down answers to individual questions.",40,"Slide deck explanation, additional resources, preparedness to answer off the cuff questions from students shows Jason has invested a lot of time in understand the Metaswitch Hosted platform in great detail.",40,"The lab exercises were helpful in showing how to provision various Metaswitch objects, whether in Metaview Explorer or Web and how they work with one another.",40,"One of the things I emphasize about what makes the learning process easier and more collaborative was the ability to feel relaxed and comfortable.",40,"Computer worked well.",40,"Good network connectivity.","Strongly Agree","I sat in the front, so I could see fine. Jason spoke clearly and moved around and interacted with students in all sections of the class.","Eleven to Twenty Years","","Both IP and Telephony","","Agree","Jason upped them. I feel they will give me confidence to take on and understand new areas when I return to work.","3 to 11 months","","Yes","I have learned a lot in a short period of time.","Strongly Agree","I am very happy with the amount I learned in this class. Would love to take more Metaswitch training in Perimeta and other topics.","Yes","I would recommend this course highly","Having a lab where there is a physical router and switch and showing how to stage and test configuring a business customer.","   Jason Anderson        ","Denver (DTC) ","HPBX Deployment & Troubleshooting ","Strongly Agree   "
"51","8/12/2016 4:54","8/12/2016 4:58","GVTC, New Braunfels, TX",40,"",40,"",30,"",30,"",30,"",30,"",30,"","Agree","","One to Five Years","","Both IP and Telephony","","Agree","","12 to 23 months","","Yes","","Agree","","Yes","","","   Jason Anderson        ","Denver (DTC) ","HPBX Deployment & Troubleshooting "," Agree  "
"52","8/12/2016 4:54","8/12/2016 4:58","Kansas Communication Services",30,"",30,"",30,"",30,"",30,"",30,"",30,"","Agree","","One to Five Years","","Both IP and Telephony","","Agree","","3 to 11 months","","No","Had a lot of exposure from our CSE, already knew quite a bit before doing modules","Agree","","Yes","","","   Jason Anderson        ","Denver (DTC) ","HPBX Deployment & Troubleshooting "," Agree  "
"53","8/12/2016 4:54","8/12/2016 5:02","Arvig",30,"",40,"",30,"",30,"",30,"Fans were appreciated to help stay cool.",40,"",30,"","Strongly Agree","","Eleven to Twenty Years","Most of my years have been in Outside Plant Engineering.  I have only been in my HPBX Product Manager position for 3 months.","Neither","Strictly field design and placement of Fiber/CATV/Copper prior to past 3 months","Agree","This course was very good for the portions that I have become familiar with over the past 3 months.   There were sections that I have not yet been exposed to that were a little difficult to follow, but the other attendees seemed to benefit greatly from the content.","Less than 3 months","","No","I feel another 3 months working with the remaining features prior to attending the class would have been beneficial for myself.","Agree","","Yes","","Overall I was very pleased with the course content, training facility and instructor.","   Jason Anderson        ","Denver (DTC) ","HPBX Deployment & Troubleshooting "," Agree  "
"54","8/12/2016 4:53","8/12/2016 4:57","Kansas Communication Services",40,"",40,"",30,"",40,"",30,"",30,"",30,"","Agree","","Six to Ten Years","","Telephony","","Strongly Agree","","3 to 11 months","","Yes","","Agree","","Yes","","","   Jason Anderson        ","Denver (DTC) ","HPBX Deployment & Troubleshooting ","Strongly Agree   "
"55","8/12/2016 4:54","8/12/2016 5:04","Salish Networks",40,"",40,"",30,"",40,"",40,"",40,"",40,"","Strongly Agree","","Twenty One or More Years","37+ years","Telephony","","Disagree","A lot of technical information that I am unfamiliar with.  Lots of stuff ""over my head"".","3 to 11 months","","Yes","","Agree","Lots of great information.  The parts that I need will ""sink in"" over time.  Good to know ""where to go"" for help...","Yes","","Just in relation to my current experience, the course was a bit overwhelming.  But that's not to say that it's too much for most other people who attend.  Really good class overall.  I did enjoy it!!   Jason was very easy to understand and very patient.  Would definitely recommend. ","   Jason Anderson        "," ","HPBX Deployment & Troubleshooting "," Agree  "
"56","8/12/2016 4:53","8/12/2016 4:59","JEA",30,"",40,"",30,"",30,"",30,"",40,"",40,"","Agree","","Eleven to Twenty Years","","Both IP and Telephony","","Agree","","2 to 5 years","","Yes","","Disagree","I would have liked to have known more details regarding each function in building up a business group - ie review everything in the connection tab / BG settings tab / etc","Yes","","I wish we could have built up a real world sample BG from start to finish","   Jason Anderson        ","Denver (DTC) ","HPBX Deployment & Troubleshooting "," Agree  "
"57","8/12/2016 4:53","8/12/2016 4:59","SCTelcom",40,"",40,"",30,"",30,"",30,"",40,"",40,"","Strongly Agree","","Six to Ten Years","","IP","","Agree","","3 to 11 months","","Yes","","Strongly Agree","","Yes","","Jason did an excellent job. Seems like he was born to do this type of thing.","   Jason Anderson        ","Denver (DTC) ","HPBX Deployment & Troubleshooting ","Strongly Agree   "
"58","8/12/2016 4:54","8/12/2016 5:00","",30,"",40,"",40,"",40,"",30,"",40,"",40,"","Strongly Agree","","Six to Ten Years","","Telephony","","Agree","","2 to 5 years","","Yes","","Agree","","Yes","","There were quite a few mistakes in the lab book which made some of the labs confusing.","   Jason Anderson        ","Denver (DTC) ","HPBX Deployment & Troubleshooting "," Agree  "
"59","8/12/2016 4:53","8/12/2016 4:58","Yelcot",40,"",40,"",30,"",30,"",30,"",40,"",40,"","Strongly Agree","","Twenty One or More Years","","Both IP and Telephony","","Strongly Agree","","6 or more years","","No","I would rather have taken the courses then installed/upgrade our system.","Strongly Agree","","Yes","","","   Jason Anderson        ","Denver (DTC) ","HPBX Deployment & Troubleshooting "," Agree  "
